"","UniqueCarrier","Origin","Dest","PctOnTime"
"10","9E","ATL","CAE",1
"17","9E","ATL","DFW",1
"33","9E","ATL","MSY",1
"154","9E","DFW","ATL",1
"214","9E","DTW","MDW",1
"219","9E","DTW","MSP",1
"325","9E","LGA","DTW",1
"330","9E","LGA","MSY",1
"349","9E","MDW","DTW",1
"473","9E","MSP","MEM",1
"474","9E","MSP","MKE",1
"563","9E","SDF","CVG",1
"858","AA","MIA","FLL",1
"1282","B6","BOS","BTV",1
"1475","B6","PHX","BOS",1
"1543","CO","AGS","ATL",1
"1567","CO","CLE","CMH",1
"1592","CO","CMH","CLE",1
"1753","CO","LAX","CMH",1
"1772","CO","MSY","CMH",1
"1780","CO","OMA","EWR",1
"1783","CO","ORD","CLE",1
"2100","DL","LAS","LAX",1
"2447","EV","BHM","MCO",1
"2539","EV","CVG","PFN",1
"2548","EV","CVG","SAV",1
"2551","EV","CVG","SRQ",1
"2553","EV","CVG","TOL",1
"2600","EV","GSO","LGA",1
"2621","EV","IND","CVG",1
"2643","EV","LGA","GSO",1
"2651","EV","LIT","MCO",1
"2663","EV","MCO","LIT",1
"2695","EV","MSY","CVG",1
"2708","EV","PFN","CVG",1
"2735","EV","SAT","CVG",1
"2747","EV","SRQ","CVG",1
"2759","EV","TOL","CVG",1
"2760","EV","TPA","ATL",1
"2774","EV","VPS","CVG",1
"2796","F9","DEN","BTR",1
"2836","F9","DEN","TUL",1
"3084","FL","MCO","BTV",1
"3092","FL","MCO","DEN",1
"3221","FL","SFO","PHL",1
"3728","NW","AUS","MEM",1
"3829","NW","DTW","PLN",1
"3848","NW","DTW","XNA",1
"3940","NW","MEM","BDL",1
"3982","NW","MEM","XNA",1
"4043","NW","MSP","LIT",1
"4069","NW","MSP","SBN",1
"4082","NW","MSP","XNA",1
"4108","NW","PLN","DCA",1
"4109","NW","PLN","DTW",1
"4117","NW","ROC","MSP",1
"4129","NW","SBN","MSP",1
"4166","NW","XNA","DTW",1
"4167","NW","XNA","MEM",1
"4168","NW","XNA","MSP",1
"4197","OH","ATL","CHS",1
"4265","OH","BDL","ATL",1
"4329","OH","CHO","CVG",1
"4336","OH","CHS","SAV",1
"4436","OH","CVG","ROA",1
"4456","OH","DAB","CVG",1
"4457","OH","DAB","JAX",1
"4462","OH","DCA","ATL",1
"4472","OH","DFW","ATL",1
"4475","OH","DSM","ATL",1
"4482","OH","DTW","LAN",1
"4494","OH","FLL","TLH",1
"4497","OH","FSD","MSP",1
"4518","OH","HPN","EWR",1
"4638","OH","MDT","AVP",1
"4654","OH","MLB","LGA",1
"4668","OH","MYR","ILM",1
"4742","OH","SAV","JAX",1
"4784","OO","ABE","BHM",1
"4842","OO","ATW","CHS",1
"4863","OO","BHM","ATL",1
"4892","OO","BUR","RNO",1
"4951","OO","CVG","SDF",1
"5062","OO","FAR","LAN",1
"5081","OO","FSD","PIA",1
"5082","OO","FSD","SDF",1
"5126","OO","IAH","ORF",1
"5196","OO","LNK","ABE",1
"5223","OO","MFR","RDM",1
"5256","OO","MKE","TUS",1
"5269","OO","MSN","ATW",1
"5276","OO","MSO","SFO",1
"5300","OO","OMA","LNK",1
"5437","OO","RNO","BUR",1
"5451","OO","SAV","CHS",1
"5455","OO","SBA","SBP",1
"5519","OO","SLC","ATL",1
"5640","OO","TYS","ATL",1
"5660","UA","ABQ","LAX",1
"5697","UA","CVG","IAD",1
"5804","UA","IAD","CLT",1
"6121","US","CLT","BHM",1
"6128","US","CLT","CMH",1
"6198","US","DCA","PHL",1
"6320","US","MYR","PHL",1
"6373","US","PHL","SDF",1
"6450","US","PIT","SJU",1
"7501","XE","CLE","CVG",1
"7566","XE","CVG","CLE",1
"7580","XE","DEN","IAH",1
"7649","XE","EWR","TPA",1
"7801","XE","LAX","SAN",1
"7949","XE","RNO","SLC",1
"7961","XE","SAN","LAX",1
"7981","XE","SDF","BOS",1
"8006","XE","SLC","RNO",1
"8027","XE","TPA","EWR",1
"8139","YV","CLT","MSP",1
"8183","YV","DEN","GRR",1
"8192","YV","DEN","OKC",1
"8198","YV","DEN","TVC",1
"8363","YV","OKC","DEN",1
"3101","FL","MCO","MDT",0.98
"1180","AS","OGG","ANC",0.96
"62","9E","BDL","CVG",0.95
"119","9E","CVG","BDL",0.95
"2650","EV","LIT","CVG",0.95
"4765","OH","TOL","CVG",0.95
"5077","OO","FNT","MKG",0.94
"6695","WN","DAL","HRL",0.94
"7453","XE","BFL","SMF",0.94
"2488","EV","CVG","AZO",0.93
"2576","EV","EVV","CVG",0.93
"2662","EV","MCO","LEX",0.93
"2730","EV","RIC","MCO",0.93
"7414","WN","TUS","OAK",0.93
"2671","EV","MCO","TYS",0.92
"2729","EV","RIC","CVG",0.92
"2742","EV","SDF","MCO",0.92
"2988","FL","CMH","MCO",0.92
"3150","FL","MLI","LAS",0.92
"3211","FL","SAN","MCO",0.92
"5490","OO","SFO","MSO",0.92
"7254","WN","SAN","SLC",0.92
"2468","EV","CHO","CVG",0.91
"2614","EV","IAD","CVG",0.91
"2657","EV","MCO","AVL",0.91
"2660","EV","MCO","EYW",0.91
"5644","OO","WYS","SLC",0.91
"6183","US","DAB","CLT",0.91
"1079","AQ","OAK","HNL",0.9
"1958","DL","BOI","ATL",0.9
"2440","EV","AZO","CVG",0.9
"2474","EV","CLE","CVG",0.9
"2485","EV","CVG","ATW",0.9
"2543","EV","CVG","PWM",0.9
"2665","EV","MCO","PFN",0.9
"2724","EV","PWM","CVG",0.9
"3157","FL","MSY","IND",0.9
"6809","WN","HRL","DAL",0.9
"7107","WN","ORF","BNA",0.9
"7547","XE","CLE","TUL",0.9
"7817","XE","LGB","MRY",0.9
"8255","YV","IAD","DAY",0.9
"8435","YV","PHX","DFW",0.9
"116","9E","CRW","DTW",0.89
"1097","AQ","SNA","KOA",0.89
"1240","AS","SEA","OGG",0.89
"2519","EV","CVG","IND",0.89
"2581","EV","EYW","MCO",0.89
"2585","EV","FLL","TLH",0.89
"2661","EV","MCO","HSV",0.89
"2670","EV","MCO","TLH",0.89
"2764","EV","TRI","CVG",0.89
"4862","OO","BFL","SLC",0.89
"4871","OO","BLI","SLC",0.89
"6983","WN","MCO","OKC",0.89
"7084","WN","OAK","TUS",0.89
"7920","XE","PHL","EWR",0.89
"8494","YV","SAN","PHX",0.89
"1073","AQ","LAS","OAK",0.88
"1093","AQ","SAN","OGG",0.88
"2460","EV","BWI","CVG",0.88
"2558","EV","CVG","XNA",0.88
"2561","EV","DAY","CVG",0.88
"2666","EV","MCO","PNS",0.88
"2989","FL","CMH","RSW",0.88
"3089","FL","MCO","CMH",0.88
"7104","WN","ONT","RNO",0.88
"7655","XE","FAT","ONT",0.88
"7815","XE","LGB","FAT",0.88
"2626","EV","JAX","CVG",0.87
"2762","EV","TPA","TLH",0.87
"3271","HA","ITO","KOA",0.87
"3281","HA","OGG","ITO",0.87
"4486","OH","EVV","CVG",0.87
"4745","OH","SCE","CVG",0.87
"7498","XE","CLE","CHS",0.87
"7938","XE","RDU","JAX",0.87
"8315","YV","LAS","PSP",0.87
"8512","YV","SLC","LAS",0.87
"484","9E","MSP","PWM",0.86
"1094","AQ","SMF","OGG",0.86
"2023","DL","DCA","JFK",0.86
"2298","EV","ALB","CVG",0.86
"2472","EV","CID","CVG",0.86
"2480","EV","CRW","CVG",0.86
"2602","EV","GSP","CVG",0.86
"2637","EV","LEX","MCO",0.86
"4232","OH","ATL","MYR",0.86
"4525","OH","HTS","CVG",0.86
"4665","OH","MYR","ATL",0.86
"5110","OO","GTF","SLC",0.86
"5365","OO","ORD","PVD",0.86
"5608","OO","SLE","SLC",0.86
"6091","US","BDL","DCA",0.86
"6437","US","PIT","DCA",0.86
"7445","XE","AUS","TUL",0.86
"7889","XE","OMA","SLC",0.86
"55","9E","AUS","IND",0.85
"310","9E","INL","MSP",0.85
"1975","DL","BWI","CVG",0.85
"2103","DL","LAX","ANC",0.85
"2292","EV","ABE","CVG",0.85
"2432","EV","ATW","CVG",0.85
"2497","EV","CVG","CHO",0.85
"2501","EV","CVG","CRW",0.85
"2569","EV","DFW","CVG",0.85
"2683","EV","MIA","TLH",0.85
"2776","EV","XNA","CVG",0.85
"3836","NW","DTW","SBN",0.85
"4128","NW","SBN","DTW",0.85
"4514","OH","GSP","CVG",0.85
"4940","OO","CPR","ORD",0.85
"5154","OO","LAX","BZN",0.85
"7458","XE","BHM","RDU",0.85
"7775","XE","IDA","SLC",0.85
"7890","XE","OMA","TUS",0.85
"7902","XE","ONT","RNO",0.85
"7994","XE","SLC","FAT",0.85
"8493","YV","SAN","LAS",0.85
"74","9E","BJI","MSP",0.84
"433","9E","MSP","BJI",0.84
"1082","AQ","OAK","OGG",0.84
"1096","AQ","SNA","HNL",0.84
"1192","AS","PDX","BUR",0.84
"2439","EV","AVP","CVG",0.84
"2453","EV","BOS","DCA",0.84
"2502","EV","CVG","DAY",0.84
"2700","EV","OKC","CVG",0.84
"2757","EV","TLH","TPA",0.84
"3110","FL","MCO","PWM",0.84
"3201","FL","RSW","DCA",0.84
"6537","WN","ABQ","STL",0.84
"6624","WN","BUF","FLL",0.84
"6718","WN","DEN","MSY",0.84
"7120","WN","PDX","DEN",0.84
"7212","WN","RDU","DEN",0.84
"7452","XE","BFL","SAN",0.84
"7841","XE","MEM","CLE",0.84
"8361","YV","OAK","PHX",0.84
"185","9E","DTW","CRW",0.83
"470","9E","MSP","MBS",0.83
"1062","AQ","HNL","LIH",0.83
"1099","AQ","SNA","OGG",0.83
"1228","AS","SEA","HNL",0.83
"2441","EV","BDL","ATL",0.83
"2490","EV","CVG","BHM",0.83
"2496","EV","CVG","CAK",0.83
"2507","EV","CVG","EVV",0.83
"2554","EV","CVG","TRI",0.83
"2557","EV","CVG","VPS",0.83
"2636","EV","LEX","LGA",0.83
"3118","FL","MDT","MCO",0.83
"3202","FL","RSW","DTW",0.83
"3781","NW","DTW","BHM",0.83
"3925","NW","MBS","MSP",0.83
"3939","NW","MEM","AUS",0.83
"4391","OH","CVG","EVV",0.83
"4930","OO","COD","SLC",0.83
"5032","OO","DFW","ATL",0.83
"5343","OO","ORD","GTF",0.83
"6108","US","BUR","PHX",0.83
"6173","US","CLT","SRQ",0.83
"6322","US","OAK","PHX",0.83
"7653","XE","FAT","LGB",0.83
"7807","XE","LAX","TUS",0.83
"8101","YV","CID","DEN",0.83
"152","9E","DCA","MSN",0.82
"1061","AQ","HNL","KOA",0.82
"1172","AS","LIH","SEA",0.82
"1485","B6","RDU","FLL",0.82
"2532","EV","CVG","MSN",0.82
"2612","EV","HSV","MCO",0.82
"2664","EV","MCO","MSY",0.82
"3200","FL","RSW","CMH",0.82
"3288","HA","PHX","HNL",0.82
"4326","OH","CAK","CVG",0.82
"4349","OH","CMH","DCA",0.82
"4375","OH","CVG","CAK",0.82
"5406","OO","PIH","SLC",0.82
"5463","OO","SBP","SLC",0.82
"5535","OO","SLC","CPR",0.82
"5543","OO","SLC","ELP",0.82
"5573","OO","SLC","OKC",0.82
"5807","UA","IAD","IAH",0.82
"6310","US","MIA","PIT",0.82
"6555","WN","AUS","FLL",0.82
"7054","WN","MSY","BWI",0.82
"7419","XE","ABQ","CLE",0.82
"7541","XE","CLE","SAV",0.82
"7569","XE","DAB","CLE",0.82
"8043","XE","TUS","LAX",0.82
"159","9E","DSM","DCA",0.81
"2159","DL","MSY","SLC",0.81
"2445","EV","BHM","CVG",0.81
"2513","EV","CVG","GSP",0.81
"2566","EV","DCA","JAN",0.81
"2572","EV","DSM","CVG",0.81
"2634","EV","LEX","CVG",0.81
"2719","EV","PNS","MCO",0.81
"3882","NW","IAH","MEM",0.81
"4147","NW","SJU","MSP",0.81
"4783","OH","XNA","CVG",0.81
"5389","OO","PDX","EUG",0.81
"6054","UA","SJC","IAD",0.81
"6546","WN","AMA","ABQ",0.81
"6565","WN","AUS","PHL",0.81
"7056","WN","MSY","DEN",0.81
"7085","WN","OKC","BWI",0.81
"7352","WN","STL","DEN",0.81
"7425","XE","ABQ","SLC",0.81
"8093","YV","BUR","PHX",0.81
"85","9E","BTV","MSP",0.8
"147","9E","DCA","BOS",0.8
"336","9E","LNK","MSP",0.8
"1084","AQ","OGG","KOA",0.8
"1132","AS","BUR","PDX",0.8
"1150","AS","HNL","ANC",0.8
"1235","AS","SEA","LIH",0.8
"1668","CO","GSO","EWR",0.8
"2309","EV","ATL","BDL",0.8
"2328","EV","ATL","CRP",0.8
"2450","EV","BNA","CVG",0.8
"2465","EV","CAK","CVG",0.8
"2568","EV","DFW","ATL",0.8
"2599","EV","GSO","CVG",0.8
"2611","EV","HSV","DCA",0.8
"2616","EV","IAH","CVG",0.8
"2627","EV","JAX","LGA",0.8
"2644","EV","LGA","JAX",0.8
"2709","EV","PFN","MCO",0.8
"2718","EV","PNS","FLL",0.8
"2727","EV","RDU","MCO",0.8
"2741","EV","SDF","CVG",0.8
"2755","EV","TLH","MCO",0.8
"2761","EV","TPA","PNS",0.8
"3049","FL","IND","MSY",0.8
"3272","HA","ITO","OGG",0.8
"3924","NW","MBS","DTW",0.8
"4186","OH","ATL","AVP",0.8
"4264","OH","AZO","CVG",0.8
"4328","OH","CHA","CVG",0.8
"5040","OO","DRO","SLC",0.8
"5534","OO","SLC","COS",0.8
"5871","UA","LAX","SMF",0.8
"6098","US","BOS","DCA",0.8
"6209","US","DEN","PIT",0.8
"6293","US","MCI","CLT",0.8
"6925","WN","LBB","ELP",0.8
"7225","WN","RNO","ONT",0.8
"7266","WN","SAT","MCO",0.8
"7934","XE","RDU","BHM",0.8
"8343","YV","MFR","LAS",0.8
"8356","YV","MSY","CLT",0.8
"8364","YV","OKC","IAD",0.8
"8487","YV","RNO","PHX",0.8
"61","9E","AZO","MSP",0.79
"248","9E","EVV","DTW",0.79
"371","9E","MEM","FSM",0.79
"448","9E","MSP","DTW",0.79
"1064","AQ","HNL","OGG",0.79
"1083","AQ","OGG","HNL",0.79
"1500","B6","SAN","IAD",0.79
"1804","CO","RSW","CLE",0.79
"2436","EV","AVL","CVG",0.79
"2523","EV","CVG","LEX",0.79
"2525","EV","CVG","LIT",0.79
"2550","EV","CVG","SGF",0.79
"2556","EV","CVG","TYS",0.79
"2610","EV","HSV","CVG",0.79
"2754","EV","TLH","FLL",0.79
"2950","FL","BTV","BWI",0.79
"3111","FL","MCO","RDU",0.79
"3155","FL","MSP","TPA",0.79
"4365","OH","CVG","AZO",0.79
"4623","OH","MCO","BNA",0.79
"4656","OH","MSN","CVG",0.79
"4853","OO","AUS","SLC",0.79
"4941","OO","CPR","SLC",0.79
"5219","OO","MFR","DEN",0.79
"5545","OO","SLC","FAR",0.79
"5778","UA","EGE","ORD",0.79
"6078","US","ABE","CLT",0.79
"6363","US","PHL","ORF",0.79
"6463","US","ROC","CLT",0.79
"6545","WN","ALB","TPA",0.79
"6710","WN","DEN","FLL",0.79
"6753","WN","FLL","ALB",0.79
"6842","WN","JAX","IND",0.79
"7155","WN","PHX","BUF",0.79
"7469","XE","BPT","IAH",0.79
"7863","XE","MSY","CLE",0.79
"7950","XE","RNO","TUS",0.79
"8009","XE","SMF","BFL",0.79
"8030","XE","TUL","AUS",0.79
"8161","YV","COD","DEN",0.79
"8327","YV","LAX","PHX",0.79
"138","9E","CVG","STL",0.78
"259","9E","FSM","MEM",0.78
"522","9E","PIA","DTW",0.78
"575","9E","STL","CVG",0.78
"1102","AQ","SNA","SMF",0.78
"1275","B6","AUS","FLL",0.78
"2294","EV","ACY","ATL",0.78
"2426","EV","ATL","TUP",0.78
"2483","EV","CVG","ALB",0.78
"2505","EV","CVG","DSM",0.78
"2544","EV","CVG","RDU",0.78
"2696","EV","MSY","MCO",0.78
"2771","EV","TYS","MCO",0.78
"3005","FL","DFW","BWI",0.78
"3046","FL","IND","LAS",0.78
"3253","FL","TPA","PIT",0.78
"3736","NW","BIL","MSP",0.78
"3896","NW","JAC","MSP",0.78
"5142","OO","IYK","LAX",0.78
"5201","OO","LWS","SLC",0.78
"5829","UA","IAH","IAD",0.78
"6187","US","DCA","BUF",0.78
"6241","US","JAX","CLT",0.78
"6258","US","LAS","FAT",0.78
"6291","US","LGA","STT",0.78
"6317","US","MSY","DCA",0.78
"6607","WN","BNA","ORF",0.78
"6618","WN","BOI","OAK",0.78
"6734","WN","DEN","STL",0.78
"6762","WN","FLL","LAS",0.78
"7052","WN","MSY","BHM",0.78
"7096","WN","OMA","MCO",0.78
"7148","WN","PHL","SAT",0.78
"7403","WN","TUL","DEN",0.78
"7407","WN","TUL","MCO",0.78
"7413","WN","TUS","MDW",0.78
"7656","XE","FAT","SAN",0.78
"7976","XE","SAV","CLE",0.78
"7990","XE","SLC","ABQ",0.78
"8441","YV","PHX","FLG",0.78
"8473","YV","PSP","LAS",0.78
"158","9E","DLH","MSP",0.77
"255","9E","FNT","DTW",0.77
"299","9E","IND","DCA",0.77
"400","9E","MEM","SAV",0.77
"435","9E","MSP","BTV",0.77
"1020","AA","SNA","SJC",0.77
"1077","AQ","LIH","SAN",0.77
"1098","AQ","SNA","LIH",0.77
"1345","B6","FLL","PSE",0.77
"1669","CO","GSO","IAH",0.77
"1698","CO","IAH","GSO",0.77
"2462","EV","CAE","CVG",0.77
"2494","EV","CVG","BWI",0.77
"2528","EV","CVG","MEM",0.77
"2540","EV","CVG","PHL",0.77
"2552","EV","CVG","SYR",0.77
"2619","EV","ILM","CVG",0.77
"2668","EV","MCO","RIC",0.77
"2677","EV","MEM","CVG",0.77
"2744","EV","SGF","CVG",0.77
"2752","EV","SYR","CVG",0.77
"3123","FL","MDW","MIA",0.77
"3183","FL","PWM","MCO",0.77
"3554","MQ","MQT","GRB",0.77
"3557","MQ","MRY","LAX",0.77
"3675","MQ","SBA","LAX",0.77
"3770","NW","DFW","MEM",0.77
"3868","NW","GRB","MSP",0.77
"3936","NW","MDW","DTW",0.77
"4259","OH","AVL","CVG",0.77
"4412","OH","CVG","LIT",0.77
"4667","OH","MYR","CVG",0.77
"4923","OO","CMH","DEN",0.77
"5057","OO","EUG","PDX",0.77
"5117","OO","HLN","SLC",0.77
"5190","OO","LGB","SLC",0.77
"5515","OO","SJC","SLC",0.77
"5532","OO","SLC","CMH",0.77
"5549","OO","SLC","GCC",0.77
"5604","OO","SLC","WYS",0.77
"5639","OO","TWF","SLC",0.77
"5645","OO","XNA","ATL",0.77
"6002","UA","RDU","IAD",0.77
"6077","UA","TUS","IAD",0.77
"6196","US","DCA","MSY",0.77
"6340","US","PDX","PHX",0.77
"6948","WN","MCI","MCO",0.77
"7045","WN","MHT","FLL",0.77
"7149","WN","PHL","STL",0.77
"7271","WN","SAT","TPA",0.77
"7657","XE","FAT","SLC",0.77
"8011","XE","SMF","GEG",0.77
"8103","YV","CLD","PHX",0.77
"8357","YV","MTJ","DEN",0.77
"8436","YV","PHX","DRO",0.77
"150","9E","DCA","GRR",0.76
"179","9E","DTW","CHA",0.76
"246","9E","ELM","DTW",0.76
"451","9E","MSP","FNT",0.76
"464","9E","MSP","INL",0.76
"530","9E","PLN","DTW",0.76
"1067","AQ","KOA","HNL",0.76
"1095","AQ","SMF","SNA",0.76
"1113","AS","ANC","DLG",0.76
"1125","AS","ANC","SFO",0.76
"1321","B6","BUR","SLC",0.76
"1615","CO","EWR","CHS",0.76
"2272","DL","SNA","SLC",0.76
"2491","EV","CVG","BNA",0.76
"2499","EV","CVG","CLE",0.76
"2510","EV","CVG","GRB",0.76
"2512","EV","CVG","GSO",0.76
"2722","EV","PVD","CVG",0.76
"2956","FL","BWI","BTV",0.76
"3192","FL","ROC","LAS",0.76
"3260","HA","HNL","LIH",0.76
"3273","HA","KOA","HNL",0.76
"3277","HA","LIH","HNL",0.76
"3690","MQ","SJC","SNA",0.76
"3871","NW","GRR","MEM",0.76
"5141","OO","IPL","YUM",0.76
"5205","OO","MCI","CMH",0.76
"5397","OO","PDX","SLC",0.76
"5416","OO","PSC","SLC",0.76
"5511","OO","SGU","SLC",0.76
"5521","OO","SLC","BFL",0.76
"5551","OO","SLC","GJT",0.76
"6304","US","MHT","CLT",0.76
"6305","US","MHT","DCA",0.76
"6321","US","OAK","LAS",0.76
"6326","US","ONT","PHX",0.76
"6451","US","PIT","TPA",0.76
"6508","US","SYR","DCA",0.76
"6530","WN","ABQ","MDW",0.76
"6584","WN","BHM","PHX",0.76
"6730","WN","DEN","SJC",0.76
"6774","WN","GEG","LAS",0.76
"7213","WN","RDU","FLL",0.76
"7854","XE","MRY","LGB",0.76
"7874","XE","OKC","CLE",0.76
"7940","XE","RDU","MSY",0.76
"8236","YV","HDN","DEN",0.76
"8311","YV","LAS","OAK",0.76
"8432","YV","PHX","CLD",0.76
"64","9E","BDL","IND",0.75
"136","9E","CVG","PIT",0.75
"151","9E","DCA","IND",0.75
"266","9E","GRR","DCA",0.75
"305","9E","IND","MSP",0.75
"392","9E","MEM","ORF",0.75
"446","9E","MSP","DLH",0.75
"468","9E","MSP","LNK",0.75
"526","9E","PIT","CVG",0.75
"537","9E","RDU","IND",0.75
"1022","AA","STL","AUS",0.75
"1060","AQ","HNL","ITO",0.75
"1074","AQ","LIH","HNL",0.75
"1081","AQ","OAK","LAS",0.75
"1481","B6","PSE","MCO",0.75
"1528","B6","SMF","LGB",0.75
"1566","CO","CLE","BWI",0.75
"1642","CO","EWR","OMA",0.75
"1733","CO","IAH","SDF",0.75
"1787","CO","PBI","CLE",0.75
"2184","DL","PHX","CVG",0.75
"2518","EV","CVG","ILM",0.75
"2534","EV","CVG","MSY",0.75
"2584","EV","FLL","PNS",0.75
"2597","EV","GRR","CVG",0.75
"2667","EV","MCO","RDU",0.75
"2685","EV","MKE","CVG",0.75
"3012","FL","DTW","TPA",0.75
"3078","FL","MCI","MCO",0.75
"3236","FL","SWF","MCO",0.75
"3250","FL","TPA","MSP",0.75
"3262","HA","HNL","OGG",0.75
"3280","HA","OGG","HNL",0.75
"3494","MQ","LAX","SBA",0.75
"3775","NW","DSM","MSP",0.75
"4455","OH","CVG","XNA",0.75
"4590","OH","LEX","MCO",0.75
"4764","OH","TLH","FLL",0.75
"4772","OH","TRI","CVG",0.75
"4825","OO","ATL","MOB",0.75
"4860","OO","BFL","LAX",0.75
"5010","OO","DEN","MTJ",0.75
"5013","OO","DEN","ORD",0.75
"5094","OO","GJT","SLC",0.75
"5277","OO","MSO","SLC",0.75
"5299","OO","OMA","DEN",0.75
"5392","OO","PDX","MFR",0.75
"5394","OO","PDX","RDM",0.75
"5602","OO","SLC","TUS",0.75
"5605","OO","SLC","XNA",0.75
"5614","OO","SMX","LAX",0.75
"5991","UA","PHX","IAD",0.75
"6096","US","BOI","PHX",0.75
"6103","US","BOS","PIT",0.75
"6186","US","DCA","BOS",0.75
"6435","US","PIT","BOS",0.75
"6438","US","PIT","DEN",0.75
"6469","US","SAN","LAS",0.75
"6486","US","SJC","PHX",0.75
"6503","US","STT","CLT",0.75
"6511","US","TPA","DCA",0.75
"6521","WN","ABQ","DEN",0.75
"6562","WN","AUS","MCO",0.75
"6617","WN","BOI","LAS",0.75
"6706","WN","DEN","AMA",0.75
"6932","WN","LIT","PHX",0.75
"6935","WN","MAF","AUS",0.75
"6992","WN","MCO","SAT",0.75
"7168","WN","PHX","MCO",0.75
"7223","WN","RNO","MDW",0.75
"7234","WN","RSW","MCO",0.75
"7237","WN","RSW","STL",0.75
"7258","WN","SAT","BWI",0.75
"7298","WN","SFO","PHX",0.75
"7535","XE","CLE","PWM",0.75
"7592","XE","ELP","TUS",0.75
"7875","XE","OKC","EWR",0.75
"7932","XE","PWM","CLE",0.75
"7948","XE","RNO","ONT",0.75
"8058","YV","ABQ","PHX",0.75
"8213","YV","EUG","LAS",0.75
"8214","YV","EUG","PHX",0.75
"8325","YV","LAS","YUM",0.75
"96","9E","CHA","MEM",0.74
"260","9E","FWA","DTW",0.74
"278","9E","GTF","MSP",0.74
"338","9E","MBS","DTW",0.74
"343","9E","MCI","IND",0.74
"365","9E","MEM","CVG",0.74
"417","9E","MLI","MSP",0.74
"453","9E","MSP","FWA",0.74
"463","9E","MSP","IND",0.74
"1066","AQ","ITO","HNL",0.74
"1179","AS","OAK","SNA",0.74
"1479","B6","PSE","FLL",0.74
"1480","B6","PSE","JFK",0.74
"1564","CO","CLE","BDL",0.74
"1766","CO","MIA","CLE",0.74
"2198","DL","RNO","SLC",0.74
"2269","DL","SMF","SLC",0.74
"2437","EV","AVL","MCO",0.74
"2521","EV","CVG","JAX",0.74
"2545","EV","CVG","RIC",0.74
"2549","EV","CVG","SDF",0.74
"2579","EV","EWR","CVG",0.74
"2669","EV","MCO","SDF",0.74
"2977","FL","CAK","LAS",0.74
"2995","FL","DAY","LAS",0.74
"3129","FL","MEM","MCO",0.74
"3168","FL","PHF","TPA",0.74
"3270","HA","ITO","HNL",0.74
"3340","MQ","CMH","BOS",0.74
"3488","MQ","LAW","DFW",0.74
"3676","MQ","SBP","LAX",0.74
"3860","NW","FNT","DTW",0.74
"4141","NW","SFO","IND",0.74
"4398","OH","CVG","GSP",0.74
"4584","OH","JFK","TPA",0.74
"4869","OO","BIL","SLC",0.74
"5029","OO","DEN","TVC",0.74
"5147","OO","LAS","PSP",0.74
"5169","OO","LAX","OXR",0.74
"5387","OO","OXR","LAX",0.74
"5574","OO","SLC","OMA",0.74
"5623","OO","SUN","SLC",0.74
"6063","UA","SMF","IAD",0.74
"6095","US","BNA","CLT",0.74
"6106","US","BUF","DCA",0.74
"6425","US","PHX","SAT",0.74
"6497","US","SNA","LAS",0.74
"6541","WN","ALB","FLL",0.74
"6758","WN","FLL","DEN",0.74
"6824","WN","IND","TPA",0.74
"6989","WN","MCO","PVD",0.74
"7114","WN","PBI","BWI",0.74
"7118","WN","PDX","ABQ",0.74
"7332","WN","SMF","MCI",0.74
"7340","WN","SNA","DEN",0.74
"7665","XE","GEG","TUS",0.74
"8040","XE","TUS","ELP",0.74
"8079","YV","BFL","PHX",0.74
"8173","YV","DEN","AUS",0.74
"8202","YV","DRO","PHX",0.74
"3","9E","ALB","MSP",0.73
"144","9E","DAY","DTW",0.73
"249","9E","EVV","MEM",0.73
"276","9E","GSP","DTW",0.73
"298","9E","IND","BOS",0.73
"384","9E","MEM","MCI",0.73
"404","9E","MEM","STL",0.73
"487","9E","MSP","RIC",0.73
"536","9E","RAP","MSP",0.73
"567","9E","SGF","DTW",0.73
"1021","AA","SNA","STL",0.73
"1108","AS","ANC","ADQ",0.73
"1177","AS","OAK","PDX",0.73
"2090","DL","JFK","SJU",0.73
"2117","DL","LAX","MSY",0.73
"2161","DL","OAK","ATL",0.73
"2167","DL","ONT","SLC",0.73
"2186","DL","PHX","SLC",0.73
"2208","DL","SAN","SLC",0.73
"2224","DL","SJU","MCO",0.73
"2335","EV","ATL","DFW",0.73
"2515","EV","CVG","HSV",0.73
"2527","EV","CVG","MDT",0.73
"2593","EV","GRB","ATL",0.73
"2693","EV","MSP","CVG",0.73
"2702","EV","OMA","CVG",0.73
"3197","FL","RSW","BUF",0.73
"3446","MQ","FAT","LAX",0.73
"3671","MQ","SAN","LAX",0.73
"3695","MQ","SPS","DFW",0.73
"3702","MQ","TLH","MIA",0.73
"3739","NW","BNA","MEM",0.73
"3752","NW","BZN","MSP",0.73
"3927","NW","MCI","MEM",0.73
"4476","OH","DSM","CVG",0.73
"4616","OH","LIT","CVG",0.73
"4817","OO","ATL","GSP",0.73
"4887","OO","BTM","SLC",0.73
"4890","OO","BUR","DEN",0.73
"4929","OO","COD","DEN",0.73
"5075","OO","FCA","SLC",0.73
"5076","OO","FNT","MKE",0.73
"5155","OO","LAX","CLD",0.73
"5216","OO","MEM","ATL",0.73
"5282","OO","MSY","ATL",0.73
"5415","OO","PSC","DEN",0.73
"5513","OO","SJC","LAX",0.73
